report_year,agency_jurisdiction,population,violent_crimes,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1984,"Baltimore, MD",788604,15581,1975.77,27.26,71.52,862.28,1014.7
1984,"Boston, MA",565192,10557,1867.86,14.51,81.39,791.94,980.02
1984,"Buffalo, NY",352015,3316,942.01,9.94,78.97,459.36,393.73
1984,"Charlotte, NC",331992,4431,1334.67,16.27,73.19,900.62,344.59
1984,"Chicago, IL",3012524,60579,2010.91,24.6,95.7,943.39,947.21
1984,"Cincinnati, OH",378800,3447,909.98,9.5,96.88,451.95,351.64
1984,"Cleveland, OH",556931,7332,1316.5,28.01,131.61,422.49,734.38
1984,"Columbus, OH",568609,4352,765.38,10.9,69.29,281.04,404.14
1984,"Dallas, TX",987696,12110,1226.09,29.77,103.47,602.72,490.13
1984,"Denver, CO",524171,4100,782.19,15.64,81.46,364.38,320.7
1984,"Detroit, MI",1133647,26567,2343.5,45.34,133.99,545.32,1618.85
1984,"El Paso, TX",465748,3730,800.86,5.15,37.57,532.69,225.44
1984,"Fairfax County, VA",626134,868,138.63,2.56,9.74,55.42,70.91
1984,"Fort Worth, TX",420050,5452,1297.94,28.33,111.18,663.25,495.18
1984,"Fresno, CA",254649,1994,783.04,13.35,52.62,298.45,418.62
1984,"Honolulu, HI",810772,1950,240.51,3.08,31.45,68.21,137.77
1984,"Houston, TX",1805783,15155,839.25,26.19,70.27,235.69,507.09
1984,"Indianapolis, IN",471622,4366,925.74,10.39,68.7,456.09,390.57
1984,"Jacksonville, FL",582421,6228,1069.33,17.68,100.79,584.46,366.4
1984,"Kansas City, MO",450489,7167,1590.94,19.53,82.58,947.19,541.63
1984,"Las Vegas, NV",438264,3309,755.02,15.29,55.9,280.65,403.18
1984,"Long Beach, CA",386421,4243,1098.03,10.61,62.63,354.28,670.51
1984,"Los Angeles County, CA",1078849,10898,1010.15,16.31,45.33,593.41,355.1
1984,"Los Angeles, CA",3144256,51442,1636.06,24.14,74.64,668.3,868.98
1984,"Louisville, KY",,,,,,,
1984,"Memphis, TN",654666,9158,1398.88,17.26,121.28,532.79,727.55
1984,"Mesa, AZ",181287,871,480.45,3.31,30.89,376.2,70.05
1984,"Miami-Dade County, FL",883352,13052,1477.55,19.36,49.7,892.4,516.1
1984,"Miami, FL",400646,10928,2727.59,42.43,68.14,1193.07,1423.95
1984,"Milwaukee, WI",632458,3456,546.44,6.96,46.17,197.48,295.83
1984,"Minneapolis, MN",370866,3883,1047.01,7.28,105.7,464.86,469.17
1984,"Montgomery County, MD",549800,1540,280.1,2.55,24.92,145.14,107.49
1984,"Nashville, TN",475744,3104,652.45,15.13,86.18,248.87,302.26
1984,"Nassau County, NY",1057700,1923,181.81,3.21,6.33,72.89,99.37
1984,"New Orleans, LA",576071,8687,1507.97,37.15,96.34,557.74,816.74
1984,"New York City, NY",7167121,132292,1845.82,20.23,53.42,662.36,1109.8
1984,"Newark, NJ",324961,8580,2640.32,26.77,181.25,998.27,1434.02
1984,"Oakland, CA",358566,6388,1781.54,32.07,118.81,746.59,884.08
1984,"Oklahoma City, OK",439249,4259,969.61,14.8,117.47,472.4,364.94
1984,"Omaha, NE",357790,2410,673.58,6.71,56.46,462.28,148.13
1984,"Orlando, FL",140541,2387,1698.44,12.81,103.88,1011.09,570.65
1984,"Philadelphia, PA",1667545,15599,935.45,15.77,56.19,301.88,561.6
1984,"Phoenix, AZ",870279,6372,732.18,11.61,60.33,418.26,241.99
1984,"Pittsburgh, PA",415475,4564,1098.5,11.31,53.91,260.18,773.09
1984,"Portland, OR",367055,7408,2018.23,9.26,100.8,1079.4,828.76
1984,"Prince George's County, MD",574838,4700,817.62,6.78,60.02,386.54,364.28
1984,"Raleigh, NC",158028,947,599.26,5.06,29.74,370.82,193.64
1984,"Sacramento, CA",300248,3252,1083.1,14.99,82.6,437.64,547.88
